feature_0,feature_1,feature_2,feature_3,target
6.0,5.0,7.0,7.0,0.75
5.0,5.0,5.0,6.0,0.5
6.0,3.0,5.0,5.0,0.375
5.0,6.0,4.0,5.0,0.5
5.0,6.0,5.0,6.0,0.625
9.0,8.0,6.0,5.0,0.75
5.0,3.0,5.0,7.0,0.5
4.0,4.0,5.0,6.0,0.5
6.0,6.0,6.0,5.0,0.5
6.0,6.0,4.0,5.0,0.5
6.0,6.0,7.0,7.0,0.75
5.0,4.0,4.0,5.0,0.5
6.0,4.0,6.0,6.0,0.5
5.0,5.0,4.0,4.0,0.375
8.0,5.0,7.0,7.0,0.75
7.0,8.0,6.0,5.0,0.625
7.0,6.0,6.0,7.0,0.875
5.0,5.0,6.0,6.0,0.625
4.0,4.0,6.0,5.0,0.5
4.0,4.0,4.0,6.0,0.375
6.0,6.0,5.0,5.0,0.5
6.0,6.0,6.0,6.0,0.625
5.0,5.0,6.0,6.0,0.5
5.0,5.0,5.0,5.0,0.375
6.0,5.0,5.0,5.0,0.5
5.0,3.0,6.0,6.0,0.5
3.0,3.0,4.0,5.0,0.375
5.0,5.0,6.0,6.0,0.5
4.0,4.0,4.0,5.0,0.375
6.0,5.0,4.0,4.0,0.375
4.0,5.0,6.0,5.0,0.5
3.0,5.0,5.0,5.0,0.375
6.0,6.0,7.0,6.0,0.625
5.0,4.0,4.0,5.0,0.375
5.0,6.0,5.0,5.0,0.5
6.0,6.0,6.0,6.0,0.625
4.0,4.0,5.0,6.0,0.5
5.0,3.0,5.0,6.0,0.375
6.0,5.0,6.0,5.0,0.625
4.0,4.0,5.0,7.0,0.5
8.0,8.0,7.0,6.0,0.75
5.0,4.0,6.0,5.0,0.5
5.0,5.0,5.0,5.0,0.5
7.0,5.0,5.0,6.0,0.625
6.0,7.0,6.0,5.0,0.5
3.0,3.0,4.0,5.0,0.25
4.0,6.0,5.0,4.0,0.375
3.0,4.0,5.0,6.0,0.5
6.0,5.0,5.0,5.0,0.5
4.0,3.0,5.0,6.0,0.375
4.0,2.0,5.0,6.0,0.375
3.0,3.0,4.0,4.0,0.25
5.0,5.0,5.0,6.0,0.5
6.0,6.0,7.0,7.0,0.75
4.0,4.0,6.0,6.0,0.5
4.0,2.0,4.0,5.0,0.25
8.0,8.0,6.0,6.0,0.75
3.0,3.0,5.0,5.0,0.375
6.0,6.0,6.0,7.0,0.75
7.0,5.0,7.0,7.0,0.75
4.0,4.0,4.0,5.0,0.375
6.0,6.0,6.0,6.0,0.625
5.0,4.0,5.0,5.0,0.375
6.0,5.0,6.0,6.0,0.625
7.0,5.0,6.0,6.0,0.625
6.0,5.0,5.0,6.0,0.5
5.0,7.0,6.0,5.0,0.5
4.0,3.0,3.0,3.0,0.25
6.0,5.0,5.0,5.0,0.5
4.0,3.0,5.0,5.0,0.375
8.0,8.0,6.0,4.0,0.375
2.0,1.0,4.0,5.0,0.125
6.0,5.0,5.0,5.0,0.375
6.0,6.0,6.0,6.0,0.625
7.0,6.0,7.0,6.0,0.75
8.0,7.0,7.0,6.0,0.75
6.0,5.0,6.0,6.0,0.625
6.0,4.0,5.0,6.0,0.5
5.0,4.0,5.0,5.0,0.375
4.0,3.0,3.0,5.0,0.375
7.0,5.0,6.0,6.0,0.625
5.0,4.0,4.0,5.0,0.375
6.0,5.0,5.0,6.0,0.625
2.0,2.0,4.0,6.0,0.375
6.0,6.0,6.0,6.0,0.625
3.0,4.0,4.0,5.0,0.375
9.0,7.0,6.0,6.0,0.625
5.0,5.0,6.0,6.0,0.625
7.0,7.0,7.0,7.0,1.0
6.0,5.0,5.0,6.0,0.5
6.0,7.0,7.0,6.0,0.625
6.0,5.0,5.0,6.0,0.5
6.0,6.0,7.0,7.0,0.625
6.0,6.0,6.0,6.0,0.625
3.0,3.0,4.0,5.0,0.375
2.0,2.0,4.0,5.0,0.25
5.0,5.0,6.0,6.0,0.5
7.0,9.0,6.0,5.0,0.625
7.0,6.0,5.0,5.0,0.5
6.0,6.0,6.0,6.0,0.625
3.0,3.0,4.0,5.0,0.375
5.0,4.0,4.0,5.0,0.5
7.0,6.0,6.0,7.0,0.75
7.0,7.0,7.0,6.0,0.5
2.0,3.0,3.0,3.0,0.125
6.0,5.0,5.0,6.0,0.625
8.0,6.0,7.0,6.0,0.875
5.0,5.0,5.0,5.0,0.5
7.0,6.0,6.0,6.0,0.625
6.0,5.0,5.0,6.0,0.5
8.0,7.0,7.0,5.0,0.625
5.0,6.0,6.0,7.0,0.75
5.0,3.0,6.0,7.0,0.625
6.0,6.0,6.0,5.0,0.5
6.0,7.0,7.0,7.0,0.75
4.0,5.0,4.0,5.0,0.25
5.0,4.0,5.0,5.0,0.375
4.0,4.0,5.0,7.0,0.5
5.0,6.0,6.0,6.0,0.625
4.0,3.0,6.0,6.0,0.5
8.0,6.0,6.0,7.0,0.75
7.0,6.0,6.0,7.0,0.75
7.0,7.0,7.0,7.0,0.75
8.0,6.0,6.0,5.0,0.625
8.0,4.0,5.0,5.0,0.375
3.0,2.0,5.0,6.0,0.375
6.0,5.0,7.0,6.0,0.625
6.0,5.0,7.0,7.0,0.625
6.0,4.0,5.0,6.0,0.5
2.0,3.0,5.0,4.0,0.25
5.0,4.0,5.0,6.0,0.5
7.0,7.0,7.0,6.0,0.75
4.0,2.0,5.0,5.0,0.25
3.0,3.0,3.0,5.0,0.25
5.0,6.0,5.0,5.0,0.5
2.0,3.0,3.0,6.0,0.375
7.0,6.0,7.0,6.0,0.75
6.0,5.0,4.0,4.0,0.25
6.0,7.0,6.0,6.0,0.625
8.0,7.0,6.0,6.0,0.625
5.0,4.0,6.0,5.0,0.5
5.0,5.0,6.0,5.0,0.5
4.0,4.0,6.0,8.0,0.625
8.0,7.0,6.0,7.0,0.75
